School ID,School Name,Latitude,Longitude,Student Count,Low Income Student Count,Graduation Rate,Atttendance Rate Current Year,Address State,Address Street,Address Zip Code,Is High School,Is Middle School,Is Elementarty School,Is Pre School
400156,Noble - Butler College Prep,41.706667,-87.602573,648,578,89.9,85.9,Illinois,821 E 103RD St,60628,True,False,False,False
609712,Emil G Hirsch Metropolitan High School,41.753748,-87.601727,101,82,54.2,72.4,Illinois,7740 S INGLESIDE Ave,60619,True,False,False,False
609796,Jean Baptiste Beaubien Elementary School,41.972394,-87.757565,1001,416,,92.4,Illinois,5025 N LARAMIE Ave,60630,False,True,True,True
610364,William E B Dubois Elementary School,41.653733,-87.61432,198,189,,91.9,Illinois,330 E 133RD St,60827,False,True,True,True
610572,Safe Achieve Academy Elementary,41.753117,-87.550513,5,4,,77.7,Illinois,7877 S COLES Ave,60649-4817,False,True,True,False
609809,Lorenz Brentano Math & Science Academy ES,41.930966,-87.696294,768,276,,91.8,Illinois,2723 N FAIRFIELD Ave,60647,False,True,True,True
610513,Air Force Academy High School,41.828145,-87.632757,130,115,90.0,86.9,Illinois,3630 S WELLS St,60609,True,False,False,False
400081,Acero Charter Schools - Bartolomé de las Casas,41.859504,-87.667949,179,156,,91.0,Illinois,1641 W 16TH St,60608,False,True,True,False
609887,Arthur Dixon Elementary School,41.743669,-87.609979,425,324,,92.6,Illinois,8306 S SAINT LAWRENCE Ave,60619,False,True,True,True
609674,Chicago Vocational Career Academy High School,41.737174,-87.573268,591,556,78.1,80.6,Illinois,2100 E 87TH St,60617,True,False,False,False
609922,Belmont-Cragin Elementary School,41.92095,-87.757343,529,421,,91.4,Illinois,6112 W FULLERTON Ave,60639-2705,False,True,True,True
610097,William P Nixon Elementary School,41.919581,-87.73142,686,655,,90.1,Illinois,2121 N KEELER Ave,60639,False,False,True,True
610048,George Manierre Elementary School,41.908247,-87.639827,276,272,,82.3,Illinois,1420 N HUDSON Ave,60610,False,True,True,True
610032,Wendell E Green Elementary School,41.719292,-87.6525,268,195,,91.9,Illinois,1150 W 96TH St,60643,False,True,True,True
400144,YCCS-West HS,41.90224,-87.74881,96,88,,63.6,Illinois,4909 W DIVISION St,60651,True,False,False,False
610063,Cyrus H McCormick Elementary School,41.842267,-87.7063,482,468,,91.5,Illinois,2712 S SAWYER Ave,60623,False,False,True,True
609872,Manuel Perez Elementary School,41.856029,-87.65798,294,248,,92.8,Illinois,1241 W 19TH St,60608,False,True,True,True
609997,Oliver Wendell Holmes Elementary School,41.793788,-87.649795,170,164,,87.4,Illinois,955 W GARFIELD Blvd,60621,False,True,True,True
610206,Mark Twain Elementary School,41.799046,-87.758928,859,647,,91.9,Illinois,5134 S LOTUS Ave,60638,False,True,True,True
610316,Amelia Earhart Options for Knowledge ES,41.726107,-87.582182,195,140,,94.6,Illinois,1710 E 93RD St,60617,False,True,True,False
610141,Ravenswood Elementary School,41.960746,-87.670922,518,161,,92.7,Illinois,4332 N PAULINA St,60613,False,True,True,True
610017,Maria Saucedo STEAM Magnet Academy,41.847941,-87.697316,925,848,,90.2,Illinois,2850 W 24TH Blvd,60623,False,True,True,True
400028,CICS - Prairie,41.684433,-87.616888,420,398,,89.5,Illinois,11530 S PRAIRIE Ave,60628,False,True,True,False
610093,Jane A Neil Elementary School,41.738407,-87.620933,250,221,,87.9,Illinois,8555 S MICHIGAN Ave,60619,False,True,True,True
610533,Dr Jorge Prieto Math and Science,41.921318,-87.765781,738,659,,91.6,Illinois,2231 N CENTRAL Ave,60639,False,True,True,True
609879,Charles Gates Dawes Elementary School,41.745078,-87.717353,938,893,,91.0,Illinois,3810 W 81ST Pl,60652,False,True,True,True
609853,Salmon P Chase Elementary School,41.917993,-87.694562,420,235,,90.7,Illinois,2021 N POINT St,60647,False,True,True,True
610524,Louisa May Alcott College Preparatory HS,41.935795,-87.680562,344,248,91.5,86.6,Illinois,2957 N HOYNE Ave,60618-8208,True,False,False,False
