PUMA,puma_label,year,indicator,value,cut_name
3504.0,"(Northwest) - Irving Park, Albany Park, Forest Glen & North Park",2018,atten_elementary_w,1017.0,afroamerican
3520.0,"(Northwest) - Portage Park, Dunning & Jefferson Park",2018,atten_elementary_w,518.0,afroamerican
3521.0,"(West) - Austin, Belmont Cragin & Montclare",2018,atten_elementary_w,5309.0,afroamerican
3522.0,"(Northwest) - Logan Square, Avondale & Hermosa",2018,atten_elementary_w,554.0,afroamerican
3523.0,"(West) - North & South Lawndale, Humboldt Park, East & West Garfield Park",2018,atten_elementary_w,6273.0,afroamerican
3524.0,"(West) - West Town, Near West Side & Lower West Side",2018,atten_elementary_w,1183.0,afroamerican
3525.0,"(Central) - Near North Side, Loop & Near South Side",2018,atten_elementary_w,86.0,afroamerican
3526.0,"(Southwest) - Brighton Park, New City, Bridgeport & McKinley Park",2018,atten_elementary_w,1931.0,afroamerican
3527.0,"(Southwest) - Gage Park, Garfield Ridge & West Lawn",2018,atten_elementary_w,128.0,afroamerican
3528.0,"(South) - Chicago Lawn, Englewood/West Englewood & Greater Grand Crossing",2018,atten_elementary_w,7786.0,afroamerican
3529.0,"(South) - South Shore, Hyde Park, Woodlawn, Grand Boulevard & Douglas",2018,atten_elementary_w,12444.0,afroamerican
3530.0,"(South) - Ashburn, Washington Heights, Morgan Park & Beverly",2018,atten_elementary_w,3983.0,afroamerican
3531.0,"(South) - Auburn Gresham, Roseland, Chatham, Avalon Park & Burnside",2018,atten_elementary_w,7833.0,afroamerican
3532.0,"(South) - South Chicago, Pullman, West Pullman, East Side & South Deering",2018,atten_elementary_w,7129.0,afroamerican
9999.0,Chicago Area,2018,atten_elementary_w,60197.0,afroamerican
3151.0,"(Northwest) - Albany Park, Norwood Park, Forest Glen, North Park & O'Hare",2023,atten_elementary_w,1909.0,afroamerican
3152.0,"(North) - West Ridge, Lincoln Square & North Center",2023,atten_elementary_w,1033.0,afroamerican
3153.0,"(North) - Uptown, Edgewater & Rogers Park",2023,atten_elementary_w,2500.0,afroamerican
3154.0,(North) - Lake View & Lincoln Park,2023,atten_elementary_w,578.0,afroamerican
3155.0,"(Northwest) - Logan Square, Irving Park & Avondale",2023,atten_elementary_w,631.0,afroamerican
3156.0,"(Northwest) - Portage Park, Dunning & Jefferson Park",2023,atten_elementary_w,372.0,afroamerican
3157.0,"(West) - Belmont Cragin, Humboldt Park, Hermosa & Montclare",2023,atten_elementary_w,1160.0,afroamerican
3158.0,"(West) - Austin, North Lawndale & East/West Garfield Park",2023,atten_elementary_w,7047.0,afroamerican
3159.0,(West) - West Town & Near West Side,2023,atten_elementary_w,2267.0,afroamerican
3160.0,"(Central) - Near North Side, Loop & Near South Side",2023,atten_elementary_w,1904.0,afroamerican
3161.0,"(South) - Hyde Park, Grand Boulevard, Woodlawn, Douglas & Kenwood",2023,atten_elementary_w,6906.0,afroamerican
3162.0,"(Southwest) - New City, Lower West Side, Bridgeport & McKinley Park",2023,atten_elementary_w,2268.0,afroamerican
3163.0,"(Southwest) - South Lawndale, Brighton Park & Gage Park",2023,atten_elementary_w,595.0,afroamerican
3164.0,"(Southwest) - Ashburn, Garfield Ridge, West Lawn, Clearing & West Elsdon",2023,atten_elementary_w,449.0,afroamerican
3165.0,"(South) - Chicago Lawn, Greater Grand Crossing & West Englewood/Englewood",2023,atten_elementary_w,6058.0,afroamerican
3166.0,"(Southwest) - Auburn Gresham, Washington Heights, Morgan Park & Beverly",2023,atten_elementary_w,7342.0,afroamerican
3167.0,"(South) - Roseland, Chatham, West Pullman, Calumet Heights & Avalon Park",2023,atten_elementary_w,7349.0,afroamerican
3168.0,"(South) - South Shore, South Chicago, East Side & South Deering",2023,atten_elementary_w,7322.0,afroamerican
9999.0,Chicago Area,2023,atten_elementary_w,57690.0,afroamerican
3501.0,"(North) - Edgewater, Uptown & Rogers Park",2013,atten_elementary_w,3336.0,hispanic
3502.0,(North) - Lake View & Lincoln Park,2013,atten_elementary_w,895.0,hispanic
3503.0,"(North) - West Ridge, Lincoln Square & North Center",2013,atten_elementary_w,2137.0,hispanic
3504.0,"(Northwest) - Irving Park, Albany Park, Forest Glen & North Park",2013,atten_elementary_w,7859.0,hispanic
3520.0,"(Northwest) - Portage Park, Dunning & Jefferson Park",2013,atten_elementary_w,4583.0,hispanic
3521.0,"(West) - Austin, Belmont Cragin & Montclare",2013,atten_elementary_w,8195.0,hispanic
3522.0,"(Northwest) - Logan Square, Avondale & Hermosa",2013,atten_elementary_w,8378.0,hispanic
3523.0,"(West) - North & South Lawndale, Humboldt Park, East & West Garfield Park",2013,atten_elementary_w,9824.0,hispanic
3524.0,"(West) - West Town, Near West Side & Lower West Side",2013,atten_elementary_w,4427.0,hispanic
3525.0,"(Central) - Near North Side, Loop & Near South Side",2013,atten_elementary_w,0.0,hispanic
3526.0,"(Southwest) - Brighton Park, New City, Bridgeport & McKinley Park",2013,atten_elementary_w,9540.0,hispanic
3527.0,"(Southwest) - Gage Park, Garfield Ridge & West Lawn",2013,atten_elementary_w,11560.0,hispanic
3528.0,"(South) - Chicago Lawn, Englewood/West Englewood & Greater Grand Crossing",2013,atten_elementary_w,3471.0,hispanic
3529.0,"(South) - South Shore, Hyde Park, Woodlawn, Grand Boulevard & Douglas",2013,atten_elementary_w,129.0,hispanic
3530.0,"(South) - Ashburn, Washington Heights, Morgan Park & Beverly",2013,atten_elementary_w,2693.0,hispanic
3531.0,"(South) - Auburn Gresham, Roseland, Chatham, Avalon Park & Burnside",2013,atten_elementary_w,0.0,hispanic
3532.0,"(South) - South Chicago, Pullman, West Pullman, East Side & South Deering",2013,atten_elementary_w,3340.0,hispanic
9999.0,Chicago Area,2013,atten_elementary_w,80367.0,hispanic
3501.0,"(North) - Edgewater, Uptown & Rogers Park",2018,atten_elementary_w,5048.0,hispanic
3502.0,(North) - Lake View & Lincoln Park,2018,atten_elementary_w,6765.0,hispanic
3503.0,"(North) - West Ridge, Lincoln Square & North Center",2018,atten_elementary_w,9051.0,hispanic
3504.0,"(Northwest) - Irving Park, Albany Park, Forest Glen & North Park",2018,atten_elementary_w,8932.0,hispanic
3520.0,"(Northwest) - Portage Park, Dunning & Jefferson Park",2018,atten_elementary_w,8217.0,hispanic
3521.0,"(West) - Austin, Belmont Cragin & Montclare",2018,atten_elementary_w,9403.0,hispanic
3522.0,"(Northwest) - Logan Square, Avondale & Hermosa",2018,atten_elementary_w,8385.0,hispanic
3523.0,"(West) - North & South Lawndale, Humboldt Park, East & West Garfield Park",2018,atten_elementary_w,7298.0,hispanic
3524.0,"(West) - West Town, Near West Side & Lower West Side",2018,atten_elementary_w,3634.0,hispanic
3525.0,"(Central) - Near North Side, Loop & Near South Side",2018,atten_elementary_w,2424.0,hispanic
3526.0,"(Southwest) - Brighton Park, New City, Bridgeport & McKinley Park",2018,atten_elementary_w,11267.0,hispanic
3527.0,"(Southwest) - Gage Park, Garfield Ridge & West Lawn",2018,atten_elementary_w,10754.0,hispanic
3528.0,"(South) - Chicago Lawn, Englewood/West Englewood & Greater Grand Crossing",2018,atten_elementary_w,2890.0,hispanic
3529.0,"(South) - South Shore, Hyde Park, Woodlawn, Grand Boulevard & Douglas",2018,atten_elementary_w,1029.0,hispanic
3530.0,"(South) - Ashburn, Washington Heights, Morgan Park & Beverly",2018,atten_elementary_w,4600.0,hispanic
3531.0,"(South) - Auburn Gresham, Roseland, Chatham, Avalon Park & Burnside",2018,atten_elementary_w,752.0,hispanic
3532.0,"(South) - South Chicago, Pullman, West Pullman, East Side & South Deering",2018,atten_elementary_w,2671.0,hispanic
9999.0,Chicago Area,2018,atten_elementary_w,103120.0,hispanic
3151.0,"(Northwest) - Albany Park, Norwood Park, Forest Glen, North Park & O'Hare",2023,atten_elementary_w,3346.0,hispanic
3152.0,"(North) - West Ridge, Lincoln Square & North Center",2023,atten_elementary_w,2056.0,hispanic
3153.0,"(North) - Uptown, Edgewater & Rogers Park",2023,atten_elementary_w,303.0,hispanic
3154.0,(North) - Lake View & Lincoln Park,2023,atten_elementary_w,962.0,hispanic
3155.0,"(Northwest) - Logan Square, Irving Park & Avondale",2023,atten_elementary_w,2695.0,hispanic
3156.0,"(Northwest) - Portage Park, Dunning & Jefferson Park",2023,atten_elementary_w,3765.0,hispanic
3157.0,"(West) - Belmont Cragin, Humboldt Park, Hermosa & Montclare",2023,atten_elementary_w,11734.0,hispanic
3158.0,"(West) - Austin, North Lawndale & East/West Garfield Park",2023,atten_elementary_w,2398.0,hispanic
