,id,name,latitude,longitude,student_count,is_high_school,is_middle_school,is_pre_school,is_ele_school,attendance_rate,graduation_rate,add_street,add_state,add_zipcode,puma,neighborhood
115,400131,YCCS-Dr. Pedro Albizu Campos Puerto Rican HS,41.90285,-87.696006,160,True,False,False,False,61.6,,2739 W DIVISION St,Illinois,60622-2854,,0024
116,610405,Suder Montessori Magnet ES,41.883215,-87.677636,430,False,True,True,True,91.2,,2022 W WASHINGTON Blvd,Illinois,60612,,0028
117,609695,Roald Amundsen High School,41.975067,-87.679484,1388,True,False,False,False,85.6,89.5,5110 N DAMEN Ave,Illinois,60625,,0004
118,610083,Daniel C Beard Elementary School,41.970125,-87.78963,425,False,False,True,True,81.8,,6445 W STRONG St,Illinois,60656-4011,,0010
119,609920,Gerald Delgado Kanoon Elementary Magnet School,41.850771,-87.705112,397,False,True,True,True,88.8,,2233 S KEDZIE Ave,Illinois,60623,,0030
120,610157,Sidney Sawyer Elementary School,41.797498,-87.705006,908,False,True,True,True,90.3,,5248 S SAWYER Ave,Illinois,60632,,0063
121,610308,Wilma Rudolph Elementary Learning Center,41.883568,-87.669477,112,False,True,True,True,49.8,,1628 W WASHINGTON Blvd,Illinois,60612-2613,,0028
122,609981,Phoebe Apperson Hearst Elementary School,41.808175,-87.745726,292,False,True,True,True,90.5,,4640 S LAMON Ave,Illinois,60638,,0056
123,609895,Turner-Drew Elementary Language Academy,41.725609,-87.630164,194,False,True,False,True,93.1,,9300 S PRINCETON Ave,Illinois,60620,,0049
124,610592,Englewood STEM High School,41.770251,-87.639061,604,True,False,False,False,71.5,,6835 S NORMAL ,Illinois,60621-2535,,0068
125,609753,Chicago High School for Agricultural Sciences,41.691221,-87.71777,756,True,False,False,False,91.0,79.7,3857 W 111TH St,Illinois,60655-4009,,0074
126,610019,Joshua D Kershaw Elementary School,41.776453,-87.640892,225,False,True,True,True,91.3,,6450 S LOWE Ave,Illinois,60621,,0068
127,400092,CICS - Lloyd Bond,41.653663,-87.605039,275,False,False,False,True,85.9,,13300 S LANGLEY Ave,Illinois,60827,,0054
128,609849,George F Cassell Elementary School,41.687347,-87.703215,367,False,True,False,True,92.4,,11314 S SPAULDING Ave,Illinois,60655,,0074
129,610312,Mary E McDowell Elementary School,41.733132,-87.589589,115,False,False,True,True,94.0,,1419 E 89TH St,Illinois,60619,,0048
130,610003,Paul Cuffe Math-Science Technology Academy ES,41.742452,-87.653633,250,False,True,True,True,92.1,,8324 S RACINE Ave,Illinois,60620,,0071
131,609748,Consuella B York Alternative High School,41.842533,-87.695261,154,True,False,False,False,60.3,,2700 S CALIFORNIA Ave,Illinois,60608,,0030
132,400167,Horizon Science Academy Southwest Chicago Charter,41.795201,-87.683963,706,True,True,False,True,91.8,89.3,5401 S WESTERN Ave,Illinois,60609,,0063
133,610239,Richard J Daley Elementary Academy,41.802343,-87.672206,522,False,True,True,True,90.7,,5024 S WOLCOTT Ave,Illinois,60609,,0061
134,610218,Joseph Warren Elementary School,41.726763,-87.575353,308,False,True,True,True,91.4,,9239 S JEFFERY Ave,Illinois,60617,,0048
135,400013,ASPIRA Charter School - Early College High School,41.937298,-87.727096,278,True,False,False,False,86.2,91.4,3986 W BARRY Ave,Illinois,60618,,0021
136,610542,West Ridge Elementary School,42.002959,-87.705917,699,False,True,True,True,90.8,,6700 N WHIPPLE St,Illinois,60645,,0002
137,610146,Paul Revere Elementary School,41.764196,-87.600177,191,False,True,True,True,88.5,,1010 E 72ND St,Illinois,60619,,0069
138,610052,Horace Mann Elementary School,41.748274,-87.574816,289,False,True,True,True,91.2,,8050 S CHAPPEL Ave,Illinois,60617,,0046
139,610565,Excel Academy of Englewood,41.763896,-87.649124,265,True,True,False,False,70.7,23.3,7141 S MORGAN ,Illinois,60621-5000,,0068
140,400030,CICS - West Belden,41.921687,-87.776749,524,False,True,False,True,92.3,,2245 N MCVICKER Ave,Illinois,60639,,0019
141,400179,Noble Mansueto High School,41.800136,-87.728003,1061,True,False,False,False,89.8,91.0,2911 W 47TH ,Illinois,60632-1906,,0057
142,610104,William J Onahan Elementary School,41.99379,-87.793108,649,False,True,True,True,92.3,,6634 W RAVEN St,Illinois,60631,,0010
143,609883,Charles S Deneen Elementary School,41.76249,-87.623345,475,False,True,True,True,90.1,,7240 S WABASH Ave,Illinois,60619,,0069
144,609990,South Loop Elementary School,41.859741,-87.628349,867,False,True,True,True,93.8,,1601 S DEARBORN St,Illinois,60616-1225,,0033
145,609725,Morgan Park High School,41.692035,-87.665658,1188,True,True,False,False,78.9,85.2,1744 W PRYOR Ave,Illinois,60643,,0075
146,610095,Walter L Newberry Math & Science Academy ES,41.913947,-87.64599,328,False,True,True,True,90.1,,700 W WILLOW St,Illinois,60614,,0007
147,609724,Stephen T Mather High School,41.987589,-87.702496,1616,True,False,False,False,84.1,85.6,5835 N LINCOLN Ave,Illinois,60659,,0002
148,609830,Milton Brunson Math & Science Specialty ES ,41.897663,-87.765606,477,False,True,True,True,86.8,,932 N CENTRAL Ave,Illinois,60651,,0025
149,610107,James Otis Elementary School,41.891806,-87.665426,339,False,True,True,True,88.6,,525 N ARMOUR St,Illinois,60642,,0024
150,609848,Ira F Aldridge Elementary School,41.657405,-87.606474,259,False,True,True,True,88.5,,630 E 131ST St,Illinois,60827,,0054
151,609829,John C Burroughs Elementary School,41.828868,-87.692457,305,False,True,True,True,92.0,,3542 S WASHTENAW Ave,Illinois,60632,,0058
152,610026,John H Kinzie Elementary School,41.789965,-87.779483,639,False,True,True,True,92.8,,5625 S MOBILE Ave,Illinois,60638,,0056
153,610036,Leslie Lewis Elementary School,41.906826,-87.75455,430,False,True,True,True,89.0,,1431 N LEAMINGTON Ave,Illinois,60651,,0025
154,610131,Ambrose Plamondon Elementary School,41.860259,-87.692526,96,False,True,False,True,90.7,,2642 W 15TH Pl,Illinois,60608,,0029
